i	1000000	0	609006,631555,650791,528704,602679,602019,636808,568920,546813,522480,542688,594510,559503,584208,620871,584792,529826,523744,526367,558937,541551,551454,520964,567393,531084,526511,549021,548169,532724,540686,524418,521776,530042,526201,553147,554453,539442,518479,521738,560039,541259,531237,553371,527700,523726,529011
i	1000000	1	751177,683153,700172,567008,583556,576476,587954,587909,606118,536724,519117,523159,539136,524245,555378,527386,523087,534257,530800,524407,526554,609590,554180,524431,519035,614668,519756,531283,602908,622485,651898,607829,608922,631827,517482,544546,526872,540744,559757,528038,531661,535960,533622,522415,558408,540822,554235,527621,526585,551308,529015,536054,530984
i	1000000	2	676083,610863,567241,586108,561032,555558,579910,527887,518125,668010,634865,630994,526873,539739,558702,552848,534643,527257,583440,607179,540476,539763,561373,545290,531703,549021,530195,543320,523044,519457,530695,519315,522164,534428,543422,541638,523343,634936,603954,650369,532457,540440,536437,553751,555966,526965,546810,531956,520326,519157,545860,527878
i	1000000	3	532397,534231,522278,527956,533389,525160,538159,528269,538426,542155,548536,531716,530131,526217,528371,519850,519094,553406,529665,537473,551393,542062,543871,539896,534446,535508,551798,552336,518771,523629,530680,523794,518283,523613,542858,555533,523873,541422,531739,527986,530771,539630,522390,546615,532353,528309,535866,521122,534404,519989,520865,537096,538144,526124
i	1000000	4	648188,676004,727228,611463,550422,581452,582135,531468,528067,527185,519144,528471,524141,542045,523758,528293,537877,547403,544679,530757,530754,524884,529608,522619,526007,523358,550996,551280,525223,529512,537775,561813,552512,540086,519287,539195,519743,542877,519483,524266,547384,558216,540877,544619,567957,554150,538748,547074,547338,522164,522054,523517,521758,515022
i	1000000	5	620395,631209,582653,593379,534323,550978,552181,571149,526463,641606,534812,534626,783340,557081,532017,539222,530400,543981,525645,567449,560226,565450,527024,526795,552462,532445,546691,531368,540078,536533,518719,527941,534466,523482,564121,574152,527166,523401,536198,525988,524812,523232,519267,517295,526132,527090,543610,562807,518565,520409,547667,549731,526299,544249,522137,539592,518478,522342
i	1000000	6	616530,646126,610178,578854,532361,607579,613864,609005,519522,547713,521716,534571,532816,535390,524683,577764,526511,541401,524154,530753,621594,523318,520961,550718,523358,556327,559460,561869,562296,526247,555440,567995,535956,539515,528422,518237,529729,526025,526978,542513,532225,531320,555191,528435,526865,539009,553735,539570,538929,536851,527541,550717,532675,527382
i	1000000	7	712351,763344,717650,547213,525414,530029,543497,527773,528745,545439,582539,527286,535736,538865,546790,543965,528252,531150,563668,538569,529543,528627,544087,528167,535577,522907,546544,519898,519026,564979,523486,519030,552424,533261,543032,527465,523117,564812,535915,530195,523835,519652,539527,560230,523540
i	1000000	8	743276,802044,691658,626007,575637,591936,628063,523963,560390,585305,580439,542848,634252,608013,560061,518856,625529,631390,591543,624404,526009,616294,624492,571408,523126,597700,575720,543097,523125,523802,538258,535413,540360,535911,543368,539428,527693,542544,576776,626593,595041,526538,523245,531771,538806,525027,525047,545376,527346,532977,531012,530612,524055,532367,523562,540591,521987
i	1000000	9	771221,768106,747947,541779,524454,522235,519940,541916,553550,520215,523724,527067,525546,539513,521525,524587,541119,521243,537277,550924,526283,556735,535536,526942,535665,538107,518728,534385,527173,524226,528879,536809,527028,551259,524238,527162,519957,531535,518559,531455,523975,559227,536079,540013,527068,529123,526901,523119,518270,521230,518907,527677,531150,563930,523532,524537,532409,521783
i	1200000	0	641808,667209,649230,644051,567677,574182,525792,529488,554061,568544,525670,543018,555568,549862,527586,520656,534611,522816,546451,518490,545322,553475,559171,555590,544426,534963,543976,533166,523036,539672,542663,542547,523541,548810,559195,579408,527184,527769,526982,528349,523758,528054,547621,520801,557139,519340,529844,520039,547262,519885,522553,552207,572653,522961,542810,523680,523932,524154,523351,522163
i	1200000	1	718886,724952,753981,531973,552961,527713,530853,523007,530456,538492,582818,613886,550704,539062,527197,532451,523165,524336,562427,517729,534481,535131,515562,534041,617085,528259,546862,527395,528386,528053,524168,574505,518670,542780,548637,518508,519287,544239,565880,540181,524130,519735,531630,528581,523750,519588
i	1200000	2	683594,724734,686583,760531,760138,536623,643639,567339,528532,538092,523770,530687,527784,539420,546866,563215,516265,546988,531803,548152,533635,552522,536663,520160,562198,522009,532570,532261,570713,538359,532654,527971,554124,567209,563814,530852,515958,525750,542917,566825,528704,521016,548809,545882,546661,522789,524899,527371,533472,530959,526749,531673,534218,522481
i	1200000	3	777555,724027,533984,535514,619923,643777,619145,536765,518528,527963,537279,524630,546098,545198,527035,524489,516275,526615,547675,551022,555659,522410,540723,527672,545911,524255,531338,537129,552482,532723,542397,530025,588352,571573,604593,538381,551201,533304,522701,543513,562418,522969,532083,526115,522851,518242,552018
i	1200000	4	853000,790120,771808,603402,610139,586341,635422,615243,608875,550954,541436,596746,674275,588968,663078,561905,594172,589088,543239,526383,556753,530673,532436,601474,548113,527683,543076,541267,547956,548803,573302,611377,603428,571579,522665,530549,532427,613887,608315,532225,541181,535598,556098,531176,532056,526329,524654,530969,541375
i	1200000	5	655451,666704,625746,540308,537224,527438,561433,564642,528847,538572,528807,558801,551068,519055,649585,649502,578907,592214,526931,531046,531460,605543,555310,563706,574734,534799,547673,534660,526990,532411,534887,536708,532333,526935,523073,570253,523936,531606,533426,671840,574315,552089,532020,566799,539886,528541,538386,537956,624241,593565,568068,532213,549110,519629,518814,519807,532688
i	1200000	6	789634,731863,845286,604932,628003,527917,540485,546476,552378,540228,534452,543420,551397,603489,532107,518914,522893,552979,659686,645560,534748,545221,531105,527018,523175,534075,527767,528304,526982,530924,546806,526995,541781,520696,516733,526511,524432,535146,525782,524516,559843,529996,538345,541335,524441,523019,526678,530278,524010
i	1200000	7	583959,579837,548944,528275,526393,651668,656106,634366,530838,577045,518656,568155,558140,522432,521355,524533,567443,523946,543672,555145,547517,543297,571627,574960,520244,556801,560639,567778,531405,538218,612718,635293,619722,584375,661149,677271,531750,562973,568463,607346,564486,587464,527731,524667,524027
i	1200000	8	791465,743312,525578,540846,730919,555503,571006,569211,591525,569429,570761,574620,565852,552967,541600,548877,546074,573177,545877,544135,539591,541802,554211,536783,522728,531429,527657,547659,526315,541937,534517,541416,540353,525427,545207,568033,529533,561086,534632,534728,574245,542028,539347,540746,528021,530558,535032,531682
i	1200000	9	748858,782150,807466,785537,718122,626467,678646,629337,634090,591860,553425,616510,558123,534577,543548,532722,530664,627444,616439,547164,528646,577065,557853,547317,525079,531566,554106,522257,567147,524391,538269,561715,515627,564485,565122,527849,610583,587960,544041,535799,610043,615493,530608,527695,544374,531163,529587,526224,550624,561981,529897,548899,550669,524570,544851,531370,530632,530967
