ii	30	2	0	636840,638634,655979,587559,577269,591858,627619,564117,572249,538860,523666,557133,533681,546154,560425,524545,528120,532569,525287,535393,528737,519919,546439,531611,522848,554723,552862,523195,517038,522996,550984,540501,523811,523322,538910,523362,538113,530223,534353,526778,519106,531415,520438
ii	30	2	1	724423,729002,676377,541461,549121,539664,523087,564570,538439,544596,533741,569171,526545,532810,534961,560375,603621,543308,548685,572712,589860,525170,529213,537406,538721,519613,563199,530335,532680,599908,565008,557620,527457,527127,565036,535216,523976,537919,523566,534833,551101,519404,523993,537564,522916,520458,519860,518471
ii	30	2	2	625329,519155,523856,522596,537184,528148,514461,528489,544627,523110,520197,521178,529124,551747,527058,557051,527595,555730,523203,522448,526383,524419,560889,525876,523382,522436,524412,523333,524958,520208,523505,547271,527374,530102,519320,553710,518712,516229,538279
ii	30	2	3	572833,599397,518820,549032,532862,528365,529532,533701,525722,530469,551090,529989,521487,523386,543991,531185,535599,518797,529608,522157,566185,554243,518213,522160,524325,519815,519781,531588,522108,521451,523962,531352,555994,553385,529408,518792,535015,547109,536391,523857,524174
ii	30	2	4	646954,637085,639577,531070,528714,529591,552509,520376,527370,535544,547008,530252,564721,565246,531777,518622,527374,530565,523528,578670,537114,523882,530723,534270,534902,557259,553764,538833,550828,543467,524091,530702,533774,537222,547507,525892,533717,519431,522939,545600,527207,537246,531106,535437,538675,518278,523919,519481,523146
ii	30	2	5	702580,641834,627320,527561,620180,630743,633234,570674,583363,589743,589917,532658,541616,538809,533731,538310,528952,532835,556841,529324,543751,572569,546821,552277,527158,538031,540264,522099,534447,523404,523634,523148,518859,546218,522347,537622,522311,521501,531935,548123,523999,519471,531035,515286,523920,558730,523693
ii	30	2	6	878795,860687,995085,584590,615052,569579,557445,563629,535616,526710,570137,522131,515950,523192,544999,523293,534668,546683,522951,520506,528867,526340,535197,534102,519174,523920,522507,536947,530990,525698,537131,560956,582356,536955,567300,519317,551938,535248,520091,531492,535665,520462,554185,545237,555131,527921,523708,518392,516423,518798,521849
ii	30	2	7	650503,709407,625190,547150,543714,542615,535567,533709,527619,532802,528769,538555,530126,539049,526708,522683,521591,525984,564553,584356,527897,608210,520803,523182,531201,546031,542777,521072,532444,556483,521212,542821,530660,525010,537087,532925,527072,527431,559767,534716,514346,529420,532541,534179,528083,523052,537841
ii	30	2	8	603007,623294,535674,530712,555170,548403,558954,528991,526600,527013,542933,531180,522993,534148,522098,533666,519795,550264,532472,523575,526009,523170,519616,537984,549653,567878,536273,562998,535188,523278,525196,535971,531677,524074,574823,529927
ii	30	2	9	636747,615202,555416,525934,536535,523670,528243,530672,548820,523897,562652,532119,566388,531074,531940,561156,519433,522455,553377,583191,536746,544984,553320,526753,522098,546530,519122,532269,520632,519246,523936,519253,558096,523501,523539,518094,538914,524365,540778,540057,519290,526203,533037,541350,523228,524979
