0,100000,1,123317
0,100000,5,139472
0,100000,10,283020
0,100000,20,948040
0,300000,1,328776
0,300000,5,345178
0,300000,10,405800
0,300000,20,1022677
0,500000,1,521224
0,500000,5,577592
0,500000,10,661805
0,500000,20,1294638
0,700000,1,720166
0,700000,5,755547
0,700000,10,829576
0,700000,20,1437246
0,900000,1,920415
0,900000,5,951888
0,900000,10,985322
0,900000,20,1534438
1,100000,1,124840
1,100000,5,148402
1,100000,10,359563
1,100000,20,1083748
1,300000,1,339504
1,300000,5,363121
1,300000,10,469706
1,300000,20,1128893
1,500000,1,520276
1,500000,5,538116
1,500000,10,633751
1,500000,20,1336414
1,700000,1,729430
1,700000,5,766779
1,700000,10,824745
1,700000,20,1449047
1,900000,1,937321
1,900000,5,941304
1,900000,10,987753
1,900000,20,1456942
2,100000,1,121144
2,100000,5,176640
2,100000,10,331197
2,100000,20,1073247
2,300000,1,333420
2,300000,5,347899
2,300000,10,470802
2,300000,20,1133934
2,500000,1,527844
2,500000,5,557313
2,500000,10,621439
2,500000,20,1375439
2,700000,1,723154
2,700000,5,760675
2,700000,10,814840
2,700000,20,1381550
2,900000,1,927554
2,900000,5,939253
2,900000,10,999993
2,900000,20,1562067
3,100000,1,132485
3,100000,5,150745
3,100000,10,300139
3,100000,20,1169544
3,300000,1,319185
3,300000,5,379843
3,300000,10,448819
3,300000,20,1172161
3,500000,1,527507
3,500000,5,562417
3,500000,10,634747
3,500000,20,1309403
3,700000,1,720442
3,700000,5,765123
3,700000,10,822839
3,700000,20,1437980
3,900000,1,924951
3,900000,5,963923
3,900000,10,1026468
3,900000,20,1521108
4,100000,1,131181
4,100000,5,157658
4,100000,10,370048
4,100000,20,1104942
4,300000,1,320120
4,300000,5,380199
4,300000,10,477334
4,300000,20,1203741
4,500000,1,527220
4,500000,5,544311
4,500000,10,669488
4,500000,20,1296477
4,700000,1,727471
4,700000,5,775129
4,700000,10,796039
4,700000,20,1401161
4,900000,1,930222
4,900000,5,945174
4,900000,10,1010172
4,900000,20,1529281
5,100000,1,123400
5,100000,5,150774
5,100000,10,334326
5,100000,20,1014507
5,300000,1,320369
5,300000,5,349046
5,300000,10,509624
5,300000,20,1164306
5,500000,1,519686
5,500000,5,543851
5,500000,10,645328
5,500000,20,1326137
5,700000,1,720431
5,700000,5,758236
5,700000,10,845858
5,700000,20,1397945
5,900000,1,926552
5,900000,5,953270
5,900000,10,996296
5,900000,20,1494111
6,100000,1,148415
6,100000,5,148519
6,100000,10,340553
6,100000,20,1117914
6,300000,1,340904
6,300000,5,369399
6,300000,10,506943
6,300000,20,1159777
6,500000,1,524675
6,500000,5,554015
6,500000,10,665564
6,500000,20,1250978
6,700000,1,728130
6,700000,5,755193
6,700000,10,827614
6,700000,20,1365290
6,900000,1,927001
6,900000,5,949045
6,900000,10,991539
6,900000,20,1463308
7,100000,1,120281
7,100000,5,150953
7,100000,10,362241
7,100000,20,1103045
7,300000,1,327209
7,300000,5,399825
7,300000,10,500052
7,300000,20,1180886
7,500000,1,521572
7,500000,5,558256
7,500000,10,667710
7,500000,20,1290367
7,700000,1,721225
7,700000,5,760723
7,700000,10,802243
7,700000,20,1287283
7,900000,1,925951
7,900000,5,950265
7,900000,10,1009269
7,900000,20,1484432
8,100000,1,119496
8,100000,5,176433
8,100000,10,394906
8,100000,20,1078979
8,300000,1,323237
8,300000,5,347638
8,300000,10,553694
8,300000,20,1185680
8,500000,1,530240
8,500000,5,560259
8,500000,10,656115
8,500000,20,1207878
8,700000,1,726536
8,700000,5,769206
8,700000,10,825630
8,700000,20,1397625
8,900000,1,919199
8,900000,5,956629
8,900000,10,1015265
8,900000,20,1554107
9,100000,1,148731
9,100000,5,152957
9,100000,10,288962
9,100000,20,1018866
9,300000,1,330723
9,300000,5,356898
9,300000,10,453554
9,300000,20,1097511
9,500000,1,517624
9,500000,5,559755
9,500000,10,646137
9,500000,20,1245856
9,700000,1,719798
9,700000,5,743226
9,700000,10,804403
9,700000,20,1347423
9,900000,1,923016
9,900000,5,964552
9,900000,10,978575
9,900000,20,1525503
