ii	30	2	0	608468,611673,600315,617810,551578,539200,523404,538314,526550,557812,560090,523195,519934,524932,519559,534395,533701,529241,532683,523632,531520,524482,524388,525002,539716,527080,550685,532155,519981,531294,526392,522451,529811,546474,519659,531867,524641,532650,533743,523514,540304,518934,536827,529801
ii	30	2	1	743132,660294,801700,854532,591813,617104,618424,560019,642654,529645,575603,525958,538117,527829,530214,598032,622724,526677,545257,556259,545063,551894,547465,528849,519701,519535,520329,617690,537786,567142,528204,634128,523886,537190,519953,549527,530889,536682,531755,521486,530934,528476,536351,523760,552627,530318
ii	30	2	2	815916,544265,542460,525646,564129,551860,538171,575253,519750,547601,527475,527417,524847,541067,536317,533328,524550,541216,560860,556201,528209,533974,648678,530761,520863,561739,530788,515249,535994,551160,550006,531767,527485,548072,519019,519524
ii	30	2	3	666859,660144,595648,561250,554641,521718,550084,553754,549194,531021,522692,533102,522061,529444,548529,547025,525128,524056,539507,547614,541995,532193,526005,522575,568264,552347,524410,532339,535517,547385,523793,525320,520075,537636,544849,527467,579101,519112,520462
ii	30	2	4	635634,674271,630151,621124,544183,524039,546280,525214,544130,564467,518692,534885,624884,531346,550176,526180,554556,582693,551884,581965,612065,523256,524112,544180,559589,549303,649046,635361,548368,545829,551779,564068,549198,526460,541454,527327,518806,631592,546682,544047,539335,528457
ii	30	2	5	670277,622631,524816,557329,608583,677720,701504,619666,531329,651730,527723,636276,635470,623538,546665,541895,552626,532026,534895,526800,525235,566668,516858,522206,563644,564230,531882,560042,530189,519589,533952,551243,522257,543488,597267,573173,544088,531661,555069,549458,519711,524072,548267
ii	30	2	6	522740,542406,529431,560512,587839,542857,526424,545628,532492,541167,523815,534251,521006,536540,564544,522508,535519,541955,529701,518779,530866,539406,520368,552360,523761,531368,522791,534646,545811,534352,525312,525819,539593,524184,525459,529874,523745,519111,524145
ii	30	2	7	576970,708033,540749,520678,527366,639659,654798,538931,545263,534749,533713,529660,524984,570316,532107,558508,531102,526315,523346,536003,518058,519406,556479,539442,542925,527714,539274,532093,527046,526896,533105,528463,532193,518758,543450,527733,526615,564756,576553,524108,525549,526224
ii	30	2	8	683560,667338,549978,524409,526852,530425,523153,540208,524748,538020,548288,552233,519012,550886,524505,549237,562537,527646,553004,549983,560769,526246,520401,526415,535714,544861,525335,543205,542243,527415,528206,530884,529059,517632,523780,516442,542235,535012,573115
ii	30	2	9	684182,701269,533941,542300,530490,527685,550335,530048,584825,579806,519254,626659,534996,556055,552444,529828,561281,541414,566057,529922,555591,538837,558682,538410,554020,592731,529600,568068,539812,524218,538494,521596,520807,531986,550738,576092,539758,527146,519681
ii	60	2	0	592786,559445,550316,546731,518452,541304,535311,520405,541355,542235,626295,542871,522830,523615,755629,532770,537579,537542,519892,556065,535263,522174,559509,529596,540176,519621,527474,531764,529620,543557,557268,524701,537106,567648,559053,518943,527309,529611,531495,544554,524582,513980,523473,526891,525359,522485,523268
ii	60	2	1	583734,598239,522185,522254,557717,536111,528818,539516,529884,531837,526255,532883,529411,523954,523369,525758,530676,535183,530879,540386,528025,523878,544987,527113,533302,544752,535900,532687,525900,557435,538069,526511,577569,591652,556573,556601,540375,606731,646375,665661,527822,522149,523101,519039,524646,532925
ii	60	2	2	636320,705804,710582,719711,632764,563461,561217,524001,531939,524743,546902,541637,539865,539081,524604,555360,538558,529531,529574,522956,530631,524194,518357,538946,536406,564162,568420,548666,522898,525920,527986,542330,526904,538459,534584,519742,528423,530238,529653,527984,562585,534570,534430
ii	60	2	3	680941,681693,522141,522661,538090,600705,523934,526576,530616,542458,548936,524352,531499,513712,540490,521431,528707,523338,527589,526251,533101,539110,522714,523514,549081,584920,593100,526796,518960,519375,528772,547231,574998,540201,527885,527127,532223,519605,558001,529344,527340,519297,534445,518940,523532,568526,522408,588368,521533
ii	60	2	4	590426,639933,656299,636215,631736,663568,680080,690350,655578,553907,556058,521420,520304,532360,567654,562177,567565,545026,543704,526689,527791,517873,541027,556008,572149,534983,517355,568697,567678,542029,538464,567605,531560,519945,526504,546595,522355,527452,524979,535121,549537,518700,523253,543353,532047,538574,551287,517733,525742,532476,522117
ii	60	2	5	647736,659877,673345,672482,638488,605327,624109,624376,652278,571677,606803,608751,551572,531762,525833,525320,542285,530442,529583,525222,538577,544783,536009,548927,528480,531871,522154,569740,540941,544683,537552,519461,565074,536363,568178,520968,528024,522722,523204,519316,532466,525182,521791,523677,533584,525967,533804,530505,551776,535496,518687,519200
ii	60	2	6	731544,691241,718652,753650,567718,571153,525832,545077,547604,525751,542109,554835,534640,578888,623885,618912,573033,614864,561226,558223,543979,542686,521958,540488,517987,548308,530809,588637,533072,522408,536296,558435,515607,523477,547159,615141,593182,620712,574265,649585,674201,620627,540782,556442,587101,520061,519600,528639
ii	60	2	7	697133,702048,613624,596441,563250,569768,640757,640916,634943,591055,542438,561066,568640,527068,560012,537322,519321,526106,524289,523497,529545,529702,528763,531571,531467,525824,525729,521207,516707,517920,558238,576928,530627,529726,546317,557867,592115,527033,527198,519801,554760,521792,519265,527860
ii	60	2	8	688014,655955,684120,692603,561647,519126,534285,542551,533902,540870,640082,641266,599156,567710,658904,571273,565121,558513,566118,532238,520162,519018,521357,527783,554536,559763,540030,531282,544546,527632,533243,554444,534214,525050,524157,543573,517789,517691,522768,550798,538831,522922,539928,550219,542817,535217,534783,541345,529960,556387,525420,546516,515149
ii	60	2	9	688946,651219,598907,702331,543642,547376,528678,532790,539839,543258,527952,534396,541207,546235,552659,592641,525012,522749,519230,556489,543657,542241,531109,539210,600109,522932,552519,539917,535878,546023,551370,517486,525722,584159,605524,539411,536474,525818,554035,570454,538001,528429,537562,556921,537568,540396,579157,518329,527310,520682,521151,516035,523042,544283,536695,519767,592693
ii	90	2	0	651689,590899,569336,522926,531697,517302,527982,522588,537288,524213,551382,524090,522922,527496,519777,542474,519471,565172,538567,515632,545673,532833,522910,536219,542621,554996,520940,524037,522767,550489,543027,530888,524205,523251,531544,522357,526969,527888,522125,560258,523329,522735,527193,525030,540463,525841,514469,520308,524915,521781,523742,531081
ii	90	2	1	784663,770487,818744,529084,522899,525690,547203,535331,547433,539328,532056,534868,529589,527842,522412,532693,525591,525262,528042,532647,534992,524946,523784,557215,564107,520223,524141,554665,523656,526375,526451,522977,527019,531791,532388,531152,759770,534213,536214,547049,540559,525849,547478,541056,550142,531630,548827,539509,583257,526094
ii	90	2	2	608165,625529,626137,655178,581855,554483,559254,541016,535478,535885,550419,575883,529666,543350,549341,577926,528322,557827,524744,523668,571320,555021,608032,518701,645645,522543,526679,529296,527284,520658,530083,530094,522276,530308,540416,532241,523154,581158,537809,526797,557179,519345,524557,527335,529221,520407,519376,544447,522176,526360,526654,520366,517464,522643,526954,519665
ii	90	2	3	596807,583584,553614,560118,527491,523955,529535,536427,557521,521883,527068,524366,532441,545867,545220,542014,524032,529927,520855,550082,538897,523967,527405,550546,521541,524172,533013,542555,530587,561163,549276,532441,534593,520325,538822,533986,532924,520432,523782,542233,532481,533275,537050,531440,520132,517431,561249,519365
ii	90	2	4	704518,723286,647496,539671,537170,533772,532876,532308,566214,530145,548117,540624,530508,539046,528319,519692,527516,540230,546495,540808,554666,520099,517824,544527,540421,522673,519670,528109,523003,559677,521658,538213,518689,543683,524005,546791,562511,537595,521149,520801,532793,521476,535927,534239,516930,520507
